annotator,question_index,category,config_a,config_b,left_config,right_config,choice,timestamp
Bartosz,113,Travail,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:19:05.048280+00:00
Bartosz,117,Justice,C2_rag,C3_finetune,C3_finetune,C2_rag,neither,2026-07-30T22:20:01.522585+00:00
Bartosz,118,Protection sociale,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:20:35.881158+00:00
Bartosz,119,Logement,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:21:03.923772+00:00
Bartosz,127,Argent,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:21:40.909454+00:00
Bartosz,135,Etrangers,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:22:25.347734+00:00
Bartosz,137,Etrangers,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:22:31.134785+00:00
Bartosz,138,Justice,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:22:47.018606+00:00
Bartosz,145,Etrangers,C2_rag,C3_finetune,C3_finetune,C2_rag,left,2026-07-30T22:23:58.744875+00:00
Bartosz,148,Etrangers,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T22:24:20.773700+00:00
Bartosz,154,Justice,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T22:24:29.497995+00:00
Bartosz,159,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T22:24:52.965730+00:00
Bartosz,165,Logement,C2_rag,C3_finetune,C3_finetune,C2_rag,tie,2026-07-30T22:25:19.140383+00:00
Bartosz,169,Argent,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T22:25:26.493757+00:00
Bartosz,171,Logement,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T22:25:52.397937+00:00
Bartosz,174,Logement,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:26:19.938402+00:00
Bartosz,185,Travail,C2_rag,C3_finetune,C3_finetune,C2_rag,neither,2026-07-30T22:27:10.346144+00:00
Bartosz,188,Etrangers,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T22:27:27.180888+00:00
Bartosz,190,Argent,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T22:27:50.774017+00:00
Bartosz,191,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T22:27:57.840237+00:00
Bartosz,193,Protection sociale,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:28:10.555961+00:00
Bartosz,195,Logement,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:28:40.623729+00:00
Bartosz,196,Justice,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:28:58.510402+00:00
Bartosz,209,Logement,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T22:29:05.324502+00:00
Bartosz,213,Travail,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:29:14.311466+00:00
Bartosz,217,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T22:29:40.747345+00:00
Bartosz,221,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T22:29:44.187429+00:00
