annotator,question_index,category,config_a,config_b,left_config,right_config,choice,timestamp
Chaabane,53,Etrangers,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T21:47:25.342734+00:00
Chaabane,62,Logement,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T21:47:39.836572+00:00
Chaabane,65,Argent,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T21:48:01.196828+00:00
Chaabane,66,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T21:48:45.417668+00:00
Chaabane,77,Argent,C2_rag,C3_finetune,C2_rag,C3_finetune,tie,2026-07-30T21:49:05.859525+00:00
Chaabane,78,Etrangers,C2_rag,C3_finetune,C2_rag,C3_finetune,right,2026-07-30T21:49:17.069536+00:00
Chaabane,79,Travail,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T21:49:33.569054+00:00
Chaabane,88,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T21:49:46.315465+00:00
Chaabane,91,Logement,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T21:50:17.938634+00:00
Chaabane,95,Argent,C2_rag,C3_finetune,C3_finetune,C2_rag,neither,2026-07-30T21:52:17.570296+00:00
Chaabane,97,Etrangers,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T21:52:27.300950+00:00
Chaabane,100,Justice,C2_rag,C3_finetune,C3_finetune,C2_rag,tie,2026-07-30T21:52:59.868933+00:00
Chaabane,105,Etrangers,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T21:53:31.702180+00:00
Chaabane,106,Travail,C2_rag,C3_finetune,C2_rag,C3_finetune,neither,2026-07-30T21:59:10.380978+00:00
Chaabane,109,Logement,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T21:59:17.302353+00:00
Chaabane,110,Protection sociale,C2_rag,C3_finetune,C2_rag,C3_finetune,right,2026-07-30T21:59:47.118571+00:00
Chaabane,111,Argent,C2_rag,C3_finetune,C2_rag,C3_finetune,tie,2026-07-30T22:00:08.282494+00:00
Chaabane,113,Travail,C2_rag,C3_finetune,C2_rag,C3_finetune,tie,2026-07-30T22:01:01.894680+00:00
Chaabane,117,Justice,C2_rag,C3_finetune,C3_finetune,C2_rag,tie,2026-07-30T22:01:27.654376+00:00
Chaabane,118,Protection sociale,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:02:11.938833+00:00
Chaabane,119,Logement,C2_rag,C3_finetune,C2_rag,C3_finetune,neither,2026-07-30T22:02:43.689149+00:00
Chaabane,127,Argent,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:03:38.058829+00:00
Chaabane,135,Etrangers,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:04:15.691020+00:00
Chaabane,137,Etrangers,C2_rag,C3_finetune,C2_rag,C3_finetune,tie,2026-07-30T22:04:26.754360+00:00
Chaabane,138,Justice,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:05:29.858310+00:00
Chaabane,145,Etrangers,C2_rag,C3_finetune,C3_finetune,C2_rag,tie,2026-07-30T22:05:54.451147+00:00
Chaabane,148,Etrangers,C2_rag,C3_finetune,C3_finetune,C2_rag,tie,2026-07-30T22:06:12.290990+00:00
Chaabane,154,Justice,C2_rag,C3_finetune,C3_finetune,C2_rag,left,2026-07-30T22:11:15.453063+00:00
Chaabane,159,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T22:11:20.689741+00:00
Chaabane,165,Logement,C2_rag,C3_finetune,C3_finetune,C2_rag,neither,2026-07-30T22:12:29.754083+00:00
Chaabane,169,Argent,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T22:19:35.094040+00:00
Chaabane,171,Logement,C2_rag,C3_finetune,C3_finetune,C2_rag,neither,2026-07-30T22:20:18.754807+00:00
Chaabane,174,Logement,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:20:50.041391+00:00
Chaabane,185,Travail,C2_rag,C3_finetune,C3_finetune,C2_rag,neither,2026-07-30T22:21:37.946042+00:00
Chaabane,188,Etrangers,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T22:22:06.744638+00:00
Chaabane,190,Argent,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T22:22:54.683920+00:00
Chaabane,191,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,neither,2026-07-30T22:23:33.518653+00:00
Chaabane,193,Protection sociale,C2_rag,C3_finetune,C2_rag,C3_finetune,neither,2026-07-30T22:23:58.235979+00:00
Chaabane,195,Logement,C2_rag,C3_finetune,C2_rag,C3_finetune,neither,2026-07-30T22:24:27.297258+00:00
Chaabane,196,Justice,C2_rag,C3_finetune,C2_rag,C3_finetune,neither,2026-07-30T22:24:49.082946+00:00
Chaabane,209,Logement,C2_rag,C3_finetune,C3_finetune,C2_rag,neither,2026-07-30T22:25:30.585439+00:00
Chaabane,213,Travail,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T22:25:59.223869+00:00
Chaabane,217,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,neither,2026-07-30T22:26:17.040137+00:00
Chaabane,221,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T22:28:16.680556+00:00
